seqid	taxid	species
1	5476	candida albicans
10	5476	candida albicans
100	5476	candida albicans
10000	5476	candida albicans
10002	5476	candida albicans
10005	5476	candida albicans
10006	5476	candida albicans
10008	5476	candida albicans
10011	5476	candida albicans
10012	5476	candida albicans
10016	5476	candida albicans
1002	5476	candida albicans
10020	5476	candida albicans
10021	5476	candida albicans
10022	5476	candida albicans
10024	5476	candida albicans
10025	5476	candida albicans
10028	5476	candida albicans
1003	5476	candida albicans
10030	5476	candida albicans
10031	5476	candida albicans
10032	5476	candida albicans
10036	5476	candida albicans
10037	5476	candida albicans
10044	5476	candida albicans
10045	5476	candida albicans
10046	5476	candida albicans
10048	5476	candida albicans
1005	5476	candida albicans
10051	5476	candida albicans
10052	5476	candida albicans
10053	5476	candida albicans
10054	5476	candida albicans
10059	5476	candida albicans
1006	5476	candida albicans
10060	5476	candida albicans
10064	5476	candida albicans
10065	5476	candida albicans
10069	5476	candida albicans
10071	5476	candida albicans
10073	5476	candida albicans
10075	5476	candida albicans
10077	5476	candida albicans
10078	5476	candida albicans
10079	5476	candida albicans
1008	5476	candida albicans
10080	5476	candida albicans
10081	5476	candida albicans
10090	5476	candida albicans
10092	5476	candida albicans
10093	5476	candida albicans
10095	5476	candida albicans
10096	5476	candida albicans
10097	5476	candida albicans
10102	5476	candida albicans
10107	5476	candida albicans
10108	5476	candida albicans
10109	5476	candida albicans
1011	5476	candida albicans
10113	5476	candida albicans
10116	5476	candida albicans
10117	5476	candida albicans
1012	5476	candida albicans
10122	5476	candida albicans
10126	5476	candida albicans
1013	5476	candida albicans
10131	5476	candida albicans
10133	5476	candida albicans
10138	5476	candida albicans
10141	5476	candida albicans
10148	5476	candida albicans
1015	5476	candida albicans
10157	5476	candida albicans
10160	5476	candida albicans
10162	5476	candida albicans
10163	5476	candida albicans
10168	5476	candida albicans
10170	5476	candida albicans
10174	5476	candida albicans
10175	5476	candida albicans
10178	5476	candida albicans
10179	5476	candida albicans
1018	5476	candida albicans
10182	5476	candida albicans
10183	5476	candida albicans
10186	5476	candida albicans
10187	5476	candida albicans
