genus	truth_pct	predicted_count	predicted_pct	diff_pct
escherichia	34.3925	176	32.9588	-1.4337
candida	30.8411	165	30.8989	0.0578
saccharomyces	28.9720	154	28.8390	-0.1330
clostridioides	1.8692	0	0.0000	-1.8692
methanobrevibacter	1.4953	8	1.4981	0.0028
prevotella	0.7477	3	0.5618	-0.1859
bifidobacterium	0.3738	2	0.3745	0.0007
akkermansia	0.1869	1	0.1873	0.0003
bacteroides	0.1869	1	0.1873	0.0003
faecalibacterium	0.1869	1	0.1873	0.0003
fusobacterium	0.1869	2	0.3745	0.1876
lactobacillus	0.1869	0	0.0000	-0.1869
roseburia	0.1869	0	0.0000	-0.1869
veillonella	0.1869	1	0.1873	0.0003
citrobacter	0.0000	1	0.1873	0.1873
enterobacter	0.0000	4	0.7491	0.7491
hallella	0.0000	1	0.1873	0.1873
klebsiella	0.0000	1	0.1873	0.1873
lodderomyces	0.0000	1	0.1873	0.1873
romboutsia	0.0000	10	1.8727	1.8727
shigella	0.0000	1	0.1873	0.1873
wujia	0.0000	1	0.1873	0.1873
